date,symbol,factor,prev_close_reported,close_previous_day
2026-01-26,ABFRL,1.033258,63.69,61.64
2026-02-02,ABFRL,0.975456,64.78,66.41
2026-03-31,ABFRL,1.058638,57.05,53.89
2026-04-14,ABFRL,0.973693,60.33,61.96
2026-06-26,ABFRL,1.024617,61.6,60.12
2025-12-25,ABHAPOWER,0.923836,32.75,35.45
2026-01-15,ABHAPOWER,0.945347,32.0,33.85
2026-01-26,ABHAPOWER,0.939259,31.7,33.75
2026-03-03,ABHAPOWER,1.04475,30.35,29.05
2026-03-26,ABHAPOWER,0.957295,26.9,28.1
2026-03-31,ABHAPOWER,1.065126,25.35,23.8
2026-04-14,ABHAPOWER,1.020221,27.75,27.2
2026-06-26,ABHAPOWER,1.040892,28.0,26.9
2025-10-22,ABINFRA,1.029801,18.66,18.12
2026-01-26,ABINFRA,1.036131,18.64,17.99
2026-02-02,ABINFRA,0.951646,18.5,19.44
2026-03-31,ABINFRA,1.047164,16.43,15.69
2026-05-28,ABINFRA,1.056397,12.55,11.88
2026-06-26,ABINFRA,0.935209,10.97,11.73
2025-12-25,ABLBL,0.978948,120.44,123.03
2026-01-26,ABLBL,1.028787,106.5,103.52
2026-03-31,ABLBL,1.042503,91.98,88.23
2026-05-01,ABLBL,1.020918,104.93,102.78
2026-06-26,ABLBL,1.029825,100.48,97.57
2025-10-22,ABMINTLLTD,0.952979,50.87,53.38
2026-01-15,ABMINTLLTD,1.024695,37.76,36.85
2026-03-03,ABMINTLLTD,1.050743,41.0,39.02
2026-03-26,ABMINTLLTD,1.020316,45.2,44.3
2026-03-31,ABMINTLLTD,1.020207,43.42,42.56
2026-05-01,ABMINTLLTD,1.05167,43.76,41.61
2026-05-28,ABMKNO,1.02193,233.0,228.0
2026-01-26,ABREL,1.044544,1346.0,1288.6
2026-02-02,ABREL,0.974337,1233.9,1266.4
2026-03-03,ABREL,1.027311,1290.2,1255.9
2026-03-26,ABREL,0.9708,1133.7,1167.8
2026-05-01,ABREL,1.043197,1550.4,1486.2
2026-06-26,ABREL,0.969407,1305.5,1346.7
2026-03-26,ABSLAMC,0.957331,899.7,939.8
2026-03-31,ABSLAMC,1.028066,902.95,878.3
2026-05-28,ABSLAMC,0.976735,1003.4,1027.3
2026-06-26,ABSLAMC,1.047319,1195.2,1141.2
2026-03-31,ABSLBANETF,1.038267,53.45,51.48
2026-03-26,ABSLMSCIN,0.977674,27.15,27.77
2026-03-31,ABSLMSCIN,0.954737,27.21,28.5
2026-04-03,ABSLMSCIN,1.027367,27.78,27.04
2026-02-02,ABSLNN50ET,0.972634,68.95,70.89
2026-01-15,ABSLPSE,0.978785,10.15,10.37
2026-02-02,ABSLPSE,0.977011,10.2,10.44
2026-01-26,ABSMARINE,1.04539,183.1,175.15
2026-03-03,ABSMARINE,1.035034,168.4,162.7
2026-03-31,ABSMARINE,1.027081,153.6,149.55
2026-04-03,ABSMARINE,0.907145,163.15,179.85
2026-04-14,ABSMARINE,1.03354,200.3,193.8
2026-05-28,ABSMARINE,1.050735,285.8,272.0
2025-11-05,ACC,1.020681,1870.5,1832.6
2026-01-26,ACC,1.035408,1728.2,1669.1
2026-03-03,ACC,1.025238,1592.4,1553.2
2026-03-26,ACC,0.975437,1334.3,1367.9
2026-03-31,ACC,1.047665,1314.4,1254.6
2026-01-15,ACCELYA,0.976528,1310.5,1342.0
2026-02-02,ACCELYA,1.025052,1321.6,1289.3
2026-03-03,ACCELYA,1.026417,1196.7,1165.9
2026-03-31,ACCELYA,1.07642,1102.9,1024.6
2026-04-03,ACCELYA,0.972186,1115.0,1146.9
2026-05-01,ACCELYA,1.0372,1201.7,1158.6
2025-12-25,ACCENTMIC,1.03353,342.15,331.05
2026-01-26,ACCENTMIC,1.052493,338.85,321.95
2026-02-02,ACCENTMIC,1.031332,332.45,322.35
2026-03-31,ACCENTMIC,1.044757,371.15,355.25
2026-04-03,ACCENTMIC,0.961114,365.8,380.6
2026-04-14,ACCENTMIC,0.96029,417.15,434.4
2025-11-05,ACCORD,1.052897,20.9,19.85
2026-01-15,ACCORD,1.048193,30.45,29.05
2026-03-03,ACCORD,1.051601,29.55,28.1
2026-04-03,ACCORD,0.952381,26.0,27.3
2026-04-14,ACCORD,0.953361,34.75,36.45
2026-06-26,ACCORD,0.95272,126.95,133.25
2025-11-05,ACCPL,1.027313,58.3,56.75
2025-12-25,ACCPL,1.021591,89.9,88.0
2026-01-15,ACCPL,1.051911,72.95,69.35
2026-01-26,ACCPL,1.050742,67.3,64.05
2026-02-03,ACCPL,1.034866,69.75,67.4
2026-03-03,ACCPL,1.04335,71.0,68.05
2026-03-26,ACCPL,0.957014,63.45,66.3
2026-03-31,ACCPL,1.042486,66.25,63.55
2026-04-03,ACCPL,0.952857,66.7,70.0
2026-04-14,ACCPL,1.038436,77.0,74.15
2026-05-01,ACCPL,0.9526,103.5,108.65
2026-01-26,ACCURACY,0.977867,4.86,4.97
2026-02-02,ACCURACY,1.020161,5.06,4.96
2026-03-03,ACCURACY,1.08686,4.88,4.49
2026-03-31,ACCURACY,1.023055,3.55,3.47
2026-04-03,ACCURACY,0.97389,3.73,3.83
2026-04-14,ACCURACY,1.046967,5.35,5.11
2026-05-01,ACCURACY,1.023576,5.21,5.09
2026-05-28,ACCURACY,1.040853,5.86,5.63
2026-02-02,ACE,1.044497,887.3,849.5
2026-03-03,ACE,1.020415,884.7,867.0
2026-03-26,ACE,0.975632,798.75,818.7
